top - 10:44:36 up  3:49,  1 user,  load average: 0.25, 0.32, 0.23
Tasks: 241 total,   1 running, 239 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0.0 us,  1.3 sy,  0.0 ni, 98.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5239.1 free,   2182.2 used,   1347.2 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6256.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1570 kali      20   0  922612   8664   7512 S   0.0   0.1   0:00.11 xiccd
   1576 kali      20   0  281176  36576  20252 S   0.0   0.4   0:04.37 xfce4-s+
   1583 kali      20   0   64720  39860  21856 S   0.0   0.5   0:00.61 applet.+
   1586 kali      20   0  410392  25160  18016 S   0.0   0.3   0:01.13 xfce4-p+
   1587 colord    20   0  315976  14096   9616 S   0.0   0.2   0:00.29 colord
   1600 kali      20   0  586100  42588  34000 S   0.0   0.5   0:00.43 nm-appl+
   1700 kali      20   0  538236  11268   9988 S   0.0   0.1   0:00.14 gvfs-ud+
   1701 kali      20   0  378528  18088  16296 S   0.0   0.2   0:00.16 obexd
   1705 root      20   0  478372  13704  11784 S   0.0   0.2   0:00.48 udisksd
   1723 kali      20   0  390036   8264   7240 S   0.0   0.1   0:01.25 gvfs-af+
   1729 kali      20   0  307936   6576   6064 S   0.0   0.1   0:00.05 gvfs-mt+
   1734 kali      20   0  308888   7052   6412 S   0.0   0.1   0:00.05 gvfs-gp+
   1739 kali      20   0  307832   6268   5756 S   0.0   0.1   0:00.05 gvfs-go+
   1758 kali      20   0  168884   6664   6152 S   0.0   0.1   0:00.02 gvfsd-m+
   1762 kali      20   0  534104   8936   7912 S   0.0   0.1   0:00.12 gvfsd-t+
   1785 kali      20   0  828304  77576  56824 S   0.0   0.9   0:27.10 qtermin+
   1799 kali      20   0  704412  19532  16204 S   0.0   0.2   0:00.36 xdg-des+
   1806 kali      20   0  308748   6344   5960 S   0.0   0.1   0:00.02 xdg-per+
   1819 kali      20   0  538676   6728   6216 S   0.0   0.1   0:00.15 xdg-doc+
   1825 root      20   0    2584   1816   1816 S   0.0   0.0   0:00.00 fusermo+
   1829 kali      20   0  479320  19164  16348 S   0.0   0.2   0:00.36 xdg-des+
   1841 kali      20   0   10596   6152   3904 S   0.0   0.1   0:00.19 zsh
   1938 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3212 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
   3621 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
   3823 root       0 -20       0      0      0 I   0.0   0.0   0:00.41 kworker+
   3835 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3869 kali      20   0  406464 146712  52804 S   0.0   1.7   0:20.95 sublime+
   3878 kali      20   0  152320   2452   2324 S   0.0   0.0   0:00.00 crash_h+
   3898 kali      20   0   50980  25780   7216 S   0.0   0.3   0:01.18 plugin_+
   3901 kali      20   0   61564  35284  10164 S   0.0   0.4   0:05.09 plugin_+
   3944 root      20   0       0      0      0 I   0.0   0.0   0:00.17 kworker+
   3945 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4161 root      20   0       0      0      0 I   0.0   0.0   0:00.78 kworker+
   4415 root      20   0   19040   9144   7992 S   0.0   0.1   0:00.57 systemd+
   4657 kali      20   0 3758472  87348  22292 S   0.0   1.0   0:32.62 python3
   4662 kali      20   0   10596   6620   4200 S   0.0   0.1   0:00.21 zsh
   4693 kali      20   0   20860  14116   7204 S   0.0   0.2   0:00.06 python3
   4881 kali      20   0   10684   7252   4396 S   0.0   0.1   0:00.62 zsh
   5285 kali      20   0   10776   7028   4124 S   0.0   0.1   0:02.29 zsh
   5319 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker+
   5335 kali      20   0   10604   6528   4188 S   0.0   0.1   0:00.14 zsh
   5369 root      20   0       0      0      0 I   0.0   0.0   0:01.19 kworker+
   5403 kali      20   0  107208  72988  22144 S   0.0   0.8   0:00.36 python3
   5406 kali      20   0   44880  28836  16760 S   0.0   0.3   0:00.14 python3
   5550 kali      20   0   11.3g 523776 263696 S   0.0   6.1   2:52.82 firefox+
   5629 kali      20   0  214176  43772  35452 S   0.0   0.5   0:00.07 Socket +
   5651 kali      20   0 2486400 125276  94124 S   0.0   1.4   0:03.03 Privile+
   5686 root      20   0  257148   7036   6140 S   0.0   0.1   0:00.08 pcscd
   5698 kali      20   0 2445484 105532  85468 S   0.0   1.2   0:01.46 file://+
   5729 kali      20   0 2445164  97468  78156 S   0.0   1.1   0:01.51 WebExte+
   5792 kali      20   0  211384  42008  33944 S   0.0   0.5   0:00.22 Utility+
   5812 kali      20   0 2593372 172144 104392 S   0.0   2.0   0:22.60 Isolate+
   6327 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6457 kali      20   0  118492   8348   4424 S   0.0   0.1   0:01.15 speech-+
   6486 kali      20   0       0      0      0 Z   0.0   0.0   0:00.13 sd_espe+
   6509 kali      20   0   24192   8952   5496 S   0.0   0.1   0:00.11 sd_espe+
   6510 kali      20   0  163724   5628   4988 S   0.0   0.1   0:00.28 sd_dummy
   6513 kali      20   0   24260   8924   5468 S   0.0   0.1   0:00.05 sd_espe+
   6575 root      20   0       0      0      0 I   0.0   0.0   0:00.17 kworker+
   6828 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6875 root      20   0       0      0      0 I   0.0   0.0   0:00.47 kworker+
   7059 kali      20   0 2422704  88700  76012 S   0.0   1.0   0:00.62 Isolate+
   7088 kali      20   0 2426800  91852  78324 S   0.0   1.1   0:00.66 Isolate+
   7110 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
   7111 kali      20   0 2423732  90364  76968 S   0.0   1.0   0:00.52 Isolate+
   7171 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
   7179 kali      20   0 2424792  90888  77384 S   0.0   1.1   0:00.51 Isolate+
   7202 kali      20   0 2419828  85644  73096 S   0.0   1.0   0:00.46 Isolate+
   7268 kali      20   0 2419800  87876  74992 S   0.0   1.0   0:00.52 Isolate+
   7292 kali      20   0 2419828  85212  72656 S   0.0   1.0   0:00.50 Isolate+
   7316 kali      20   0 2420060  86140  73456 S   0.0   1.0   0:00.49 Isolate+
   7339 kali      20   0 2423976  90276  77004 S   0.0   1.0   0:00.54 Isolate+
   7408 kali      20   0 2484780 125776  94652 S   0.0   1.5   0:10.91 Isolate+
   7413 kali      20   0 2519996 167048  95756 S   0.0   1.9   0:04.43 Isolate+
   7524 kali      20   0 2404544  74432  62400 S   0.0   0.9   0:00.21 Web Con+
   7564 kali      20   0 2404524  74140  62236 S   0.0   0.9   0:00.22 Web Con+
   7660 kali      20   0 2404540  73928  62152 S   0.0   0.9   0:00.31 Web Con+
   7899 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8337 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
