top - 02:12:49 up  1:16,  1 user,  load average: 0.00, 0.03, 0.05
Tasks: 228 total,   3 running, 225 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  1.1 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5124.5 free,   1735.8 used,   1932.9 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6702.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1599 colord    20   0  316076  14144   9536 S   0.0   0.2   0:00.24 colord
   1604 kali      20   0  586100  42492  34008 S   0.0   0.5   0:00.37 nm-appl+
   1710 kali      20   0  538236  11384   9976 S   0.0   0.1   0:00.13 gvfs-ud+
   1711 kali      20   0  378528  18036  16244 S   0.0   0.2   0:00.07 obexd
   1715 root      20   0  478372  13752  11704 S   0.0   0.2   0:00.38 udisksd
   1733 kali      20   0  390036   8372   7348 S   0.0   0.1   0:00.79 gvfs-af+
   1739 kali      20   0  307936   6288   5904 S   0.0   0.1   0:00.04 gvfs-mt+
   1745 kali      20   0  308888   6880   6240 S   0.0   0.1   0:00.03 gvfs-gp+
   1750 kali      20   0  307832   6464   6080 S   0.0   0.1   0:00.03 gvfs-go+
   1769 kali      20   0  169052   6672   6160 S   0.0   0.1   0:00.05 gvfsd-m+
   1773 kali      20   0  534236   9048   7768 S   0.0   0.1   0:00.13 gvfsd-t+
   1797 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
   1822 kali      20   0  798500  62288  53164 S   0.0   0.7   0:05.81 qtermin+
   1826 kali      20   0  556944  19204  15876 S   0.0   0.2   0:00.19 xdg-des+
   1840 kali      20   0  308748   6080   5696 S   0.0   0.1   0:00.01 xdg-per+
   1842 kali      20   0  828996  93648  64784 S   0.0   1.1   0:30.77 qtermin+
   1853 kali      20   0  539716   6604   6092 S   0.0   0.1   0:00.08 xdg-doc+
   1863 root      20   0    2584   1684   1684 S   0.0   0.0   0:00.00 fusermo+
   1867 kali      20   0  479320  19308  16492 S   0.0   0.2   0:00.23 xdg-des+
   1876 kali      20   0   10596   6532   4028 S   0.0   0.1   0:00.23 zsh
   1877 kali      20   0   10024   6076   4104 S   0.0   0.1   0:00.12 zsh
   1933 kali      20   0   14608   8676   5080 S   0.0   0.1   0:06.75 zsh
   2159 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2282 kali      20   0  387776   9428   7892 S   0.0   0.1   0:00.11 gvfsd-r+
   2290 kali      20   0  583856  69544  39624 S   0.0   0.8   0:00.71 ristret+
   2314 kali      20   0  517556  57828  31012 S   0.0   0.7   0:00.63 ristret+
   2483 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker+
   3143 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3145 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
   3146 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3154 kali      20   0    2680   1520   1520 S   0.0   0.0   0:00.00 wiresha+
   3158 kali      20   0 1742200 273868 165084 S   0.0   3.2   0:15.98 wiresha+
   3173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3223 root      20   0       0      0      0 I   0.0   0.0   0:00.48 kworker+
   3239 kali      20   0  460916   8696   7800 S   0.0   0.1   0:00.03 gvfsd-n+
   3246 kali      20   0  388192   8572   7804 S   0.0   0.1   0:00.02 gvfsd-d+
   3280 root      20   0       0      0      0 I   0.0   0.0   0:02.97 kworker+
   3388 www-data  20   0  262552  16708   6892 S   0.0   0.2   0:00.00 apache2
   3389 www-data  20   0  262552  16488   6800 S   0.0   0.2   0:00.00 apache2
   3390 www-data  20   0  262552  16584   6768 S   0.0   0.2   0:00.00 apache2
   3391 www-data  20   0  262552  16396   6580 S   0.0   0.2   0:00.00 apache2
   3392 www-data  20   0  262544  16584   6768 S   0.0   0.2   0:00.00 apache2
   3535 kali      20   0  459532 162364  67724 S   0.0   1.9   0:13.19 sublime+
   3544 kali      20   0  152320   2668   2540 S   0.0   0.0   0:00.00 crash_h+
   3563 kali      20   0   50980  24920   7372 S   0.0   0.3   0:00.24 plugin_+
   3566 kali      20   0   65148  38140  10520 S   0.0   0.4   0:01.42 plugin_+
   3635 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3818 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3864 kali      20   0   23824  17300   7228 S   0.0   0.2   0:00.06 python3
   3933 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
   3947 kali      20   0   29724  20144  11088 S   0.0   0.2   0:00.77 python3
   4046 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4059 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   4089 root      20   0  336516  19388  16572 S   0.0   0.2   0:00.09 Network+
   4099 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4145 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4146 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
